Timestamp,P_PV_kW,P_Load_kW,TEMPERATURE,IRRADIATION,hour_norm
2025-07-01 03:00:00+02:00,0.0,1.338,24.3,0.0,0.125
2025-07-01 04:00:00+02:00,0.0,1.305,23.5,0.0,0.167
2025-07-01 05:00:00+02:00,0.0,1.146,22.9,0.0,0.208
2025-07-01 06:00:00+02:00,0.0,1.018,22.4,0.0,0.25
2025-07-01 07:00:00+02:00,0.003,1.002,21.9,2.0,0.292
2025-07-01 08:00:00+02:00,0.465,0.99,23.2,65.0,0.333
2025-07-01 09:00:00+02:00,1.715,0.839,25.4,208.0,0.375
2025-07-01 10:00:00+02:00,2.77,0.795,27.9,379.0,0.417
2025-07-01 11:00:00+02:00,3.529,0.842,30.6,548.0,0.458
2025-07-01 12:00:00+02:00,4.188,0.378,33.0,697.0,0.5
2025-07-01 13:00:00+02:00,4.487,0.369,34.8,810.0,0.542
2025-07-01 14:00:00+02:00,4.516,0.473,36.3,880.0,0.583
2025-07-01 15:00:00+02:00,4.309,0.546,36.5,892.0,0.625
2025-07-01 16:00:00+02:00,3.896,1.732,36.7,850.0,0.667
2025-07-01 17:00:00+02:00,3.344,1.592,35.5,767.0,0.708
2025-07-01 18:00:00+02:00,2.457,1.668,34.8,634.0,0.75
2025-07-01 19:00:00+02:00,1.321,1.468,33.5,480.0,0.792
2025-07-01 20:00:00+02:00,0.552,1.322,32.8,325.0,0.833
2025-07-01 21:00:00+02:00,0.227,1.282,31.0,161.0,0.875
2025-07-01 22:00:00+02:00,0.089,0.539,29.2,36.0,0.917
2025-07-01 23:00:00+02:00,0.003,0.339,28.1,0.0,0.958
2025-07-02 00:00:00+02:00,0.001,0.388,27.0,0.0,0.0
2025-07-02 01:00:00+02:00,0.001,1.78,26.7,0.0,0.042
2025-07-02 02:00:00+02:00,0.001,1.306,26.6,0.0,0.083
2025-07-02 03:00:00+02:00,0.0,1.362,26.0,0.0,0.125
2025-07-02 04:00:00+02:00,0.0,1.337,25.7,0.0,0.167
2025-07-02 05:00:00+02:00,0.0,1.066,25.3,0.0,0.208
2025-07-02 06:00:00+02:00,0.0,1.002,24.5,0.0,0.25
2025-07-02 07:00:00+02:00,0.004,0.956,23.8,1.0,0.292
2025-07-02 08:00:00+02:00,0.415,0.893,24.5,63.0,0.333
2025-07-02 09:00:00+02:00,1.641,1.021,26.4,204.0,0.375
2025-07-02 10:00:00+02:00,2.709,1.072,29.0,373.0,0.417
2025-07-02 11:00:00+02:00,3.533,1.061,31.4,540.0,0.458
2025-07-02 12:00:00+02:00,4.191,1.325,33.2,688.0,0.5
2025-07-02 13:00:00+02:00,4.49,1.372,34.8,801.0,0.542
2025-07-02 14:00:00+02:00,4.528,1.276,36.0,871.0,0.583
2025-07-02 15:00:00+02:00,4.295,1.224,36.6,884.0,0.625
2025-07-02 16:00:00+02:00,3.538,1.376,34.3,669.0,0.667
2025-07-02 17:00:00+02:00,3.254,1.851,33.2,547.0,0.708
2025-07-02 18:00:00+02:00,1.219,1.863,33.3,566.0,0.75
2025-07-02 19:00:00+02:00,1.508,1.525,33.2,482.0,0.792
2025-07-02 20:00:00+02:00,1.145,1.83,32.7,317.0,0.833
2025-07-02 21:00:00+02:00,0.588,1.453,31.7,160.0,0.875
2025-07-02 22:00:00+02:00,0.179,1.104,30.6,36.0,0.917
2025-07-02 23:00:00+02:00,0.005,1.242,29.7,0.0,0.958
2025-07-03 00:00:00+02:00,0.001,1.993,28.8,0.0,0.0
2025-07-03 01:00:00+02:00,0.001,1.638,27.7,0.0,0.042
2025-07-03 02:00:00+02:00,0.001,1.642,27.0,0.0,0.083
2025-07-03 03:00:00+02:00,0.0,1.37,26.2,0.0,0.125
2025-07-03 04:00:00+02:00,0.0,1.324,23.7,0.0,0.167
2025-07-03 05:00:00+02:00,0.0,1.156,23.3,0.0,0.208
2025-07-03 06:00:00+02:00,0.0,0.99,22.6,0.0,0.25
2025-07-03 07:00:00+02:00,0.003,0.471,22.2,1.0,0.292
2025-07-03 08:00:00+02:00,0.47,0.336,23.1,62.0,0.333
2025-07-03 09:00:00+02:00,1.687,0.511,25.1,202.0,0.375
2025-07-03 10:00:00+02:00,2.707,0.522,27.6,371.0,0.417
2025-07-03 11:00:00+02:00,3.52,1.001,30.0,538.0,0.458
2025-07-03 12:00:00+02:00,4.131,1.025,32.1,686.0,0.5
2025-07-03 13:00:00+02:00,4.36,1.01,33.5,799.0,0.542
2025-07-03 14:00:00+02:00,4.431,1.308,34.1,867.0,0.583
2025-07-03 15:00:00+02:00,4.276,1.571,34.0,883.0,0.625
